DATAFLOW,LAST UPDATE,freq,unit,hhtyp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bosnia and Herzegovina,2024,84.19,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Belgium,2013,80.05,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Belgium,2014,82.80,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Belgium,2015,81.83,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Belgium,2016,84.79,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Belgium,2017,85.97,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Belgium,2018,87.27,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Belgium,2019,89.73,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Belgium,2020,90.86,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Belgium,2021,91.97,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Belgium,2022,94.44,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Belgium,2023,94.48,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Belgium,2024,94.62,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bulgaria,2013,53.71,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bulgaria,2014,56.65,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bulgaria,2015,59.14,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bulgaria,2016,63.54,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bulgaria,2017,67.33,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bulgaria,2018,72.13,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bulgaria,2019,75.07,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bulgaria,2020,78.85,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bulgaria,2021,83.53,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bulgaria,2022,87.31,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bulgaria,2023,88.50,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bulgaria,2024,92.12,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Switzerland,2014,90.63,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Switzerland,2017,93.06,b,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Switzerland,2019,95.51,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Switzerland,2021,98.67,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Switzerland,2023,99.66,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Cyprus,2013,64.71,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Cyprus,2014,68.64,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Cyprus,2015,71.21,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Cyprus,2016,74.35,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Cyprus,2017,79.41,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Cyprus,2018,86.17,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Cyprus,2019,89.61,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Cyprus,2020,92.78,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Cyprus,2021,93.41,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Cyprus,2022,94.00,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Cyprus,2023,92.30,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Cyprus,2024,94.92,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Czechia,2013,72.62,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Czechia,2014,77.99,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Czechia,2015,78.98,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Czechia,2016,81.65,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Czechia,2017,83.24,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Czechia,2018,86.36,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Czechia,2019,87.00,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Czechia,2020,88.02,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Czechia,2021,89.31,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Czechia,2022,91.48,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Czechia,2023,92.80,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Czechia,2024,94.56,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Germany,2013,87.75,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Germany,2014,89.47,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Germany,2015,90.29,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Germany,2016,92.14,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Germany,2017,92.86,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Germany,2018,94.39,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Germany,2019,94.83,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Germany,2020,95.80,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Germany,2021,91.88,b,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Germany,2022,91.41,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Germany,2023,91.66,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Germany,2024,92.65,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Denmark,2013,92.71,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Denmark,2014,93.12,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Denmark,2015,91.74,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Denmark,2016,94.34,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Denmark,2017,97.00,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Denmark,2018,92.66,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Denmark,2019,95.43,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Denmark,2020,95.27,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Denmark,2021,96.14,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Denmark,2022,95.16,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Denmark,2023,96.09,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Denmark,2024,96.92,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Estonia,2013,79.31,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Estonia,2014,82.90,b,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Estonia,2015,87.73,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Estonia,2016,86.19,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Estonia,2017,88.27,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Estonia,2018,90.47,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Estonia,2019,90.43,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Estonia,2020,89.98,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Estonia,2021,91.82,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Estonia,2022,92.41,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Estonia,2023,93.22,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Estonia,2024,92.89,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Greece,2013,56.31,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Greece,2014,65.55,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Greece,2015,68.09,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Greece,2016,69.13,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Greece,2017,70.96,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Greece,2018,76.49,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Greece,2019,78.54,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Greece,2020,80.38,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Greece,2021,85.07,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Greece,2022,85.49,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Greece,2023,86.90,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Greece,2024,86.89,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Spain,2013,69.73,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Spain,2014,74.35,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Spain,2015,78.75,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Spain,2016,81.93,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Spain,2017,83.39,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Spain,2018,86.36,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Spain,2019,91.44,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Spain,2020,95.38,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Spain,2021,95.92,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Spain,2022,96.08,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Spain,2023,96.45,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Spain,2024,96.83,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,European Union - 27 countries (from 2020),2013,77.17,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,European Union - 27 countries (from 2020),2014,79.61,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,European Union - 27 countries (from 2020),2015,81.37,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,European Union - 27 countries (from 2020),2016,84.21,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,European Union - 27 countries (from 2020),2017,85.81,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,European Union - 27 countries (from 2020),2018,87.94,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,European Union - 27 countries (from 2020),2019,89.68,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,European Union - 27 countries (from 2020),2020,91.30,e,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,European Union - 27 countries (from 2020),2021,92.30,b,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,European Union - 27 countries (from 2020),2022,92.44,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,European Union - 27 countries (from 2020),2023,93.09,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,European Union - 27 countries (from 2020),2024,94.19,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Finland,2013,89.24,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Finland,2014,89.83,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Finland,2015,89.93,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Finland,2016,91.95,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Finland,2017,94.42,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Finland,2018,94.28,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Finland,2019,94.36,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Finland,2020,96.00,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Finland,2021,96.56,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Finland,2022,97.59,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Finland,2023,96.78,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Finland,2024,97.35,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,France,2013,81.72,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,France,2014,82.96,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,France,2015,82.62,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,France,2016,85.87,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,France,2017,86.41,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,France,2018,88.56,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,France,2019,90.17,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,France,2021,93.33,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,France,2022,92.25,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,France,2023,93.34,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,France,2024,94.44,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Croatia,2013,64.58,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Croatia,2014,68.37,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Croatia,2015,76.71,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Croatia,2016,77.34,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Croatia,2017,76.45,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Croatia,2018,81.52,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Croatia,2019,80.52,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Croatia,2020,85.00,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Croatia,2021,86.09,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Croatia,2022,85.52,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Croatia,2023,89.56,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Croatia,2024,88.37,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Hungary,2013,69.66,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Hungary,2014,73.06,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Hungary,2015,75.64,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Hungary,2016,79.18,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Hungary,2017,82.35,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Hungary,2018,83.31,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Hungary,2019,86.20,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Hungary,2020,87.63,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Hungary,2021,90.78,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Hungary,2022,91.44,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Hungary,2023,92.73,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Hungary,2024,94.78,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Ireland,2013,82.39,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Ireland,2014,82.17,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Ireland,2015,84.86,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Ireland,2016,86.91,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Ireland,2017,88.37,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Ireland,2018,89.11,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Ireland,2019,90.59,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Ireland,2020,91.82,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Ireland,2021,97.50,b,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Ireland,2022,,u,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Ireland,2023,93.92,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Ireland,2024,92.97,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Iceland,2013,96.41,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Iceland,2014,96.48,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Iceland,2017,97.86,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Iceland,2018,99.18,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Iceland,2019,97.70,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Iceland,2020,98.48,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Iceland,2021,98.36,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Italy,2013,68.91,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Italy,2014,72.61,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Italy,2015,75.39,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Italy,2016,78.51,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Italy,2017,81.02,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Italy,2018,84.34,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Italy,2019,85.17,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Italy,2020,88.10,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Italy,2021,90.49,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Italy,2022,91.45,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Italy,2023,91.89,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Italy,2024,93.41,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Lithuania,2013,64.73,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Lithuania,2014,65.97,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Lithuania,2015,68.26,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Lithuania,2016,71.75,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Lithuania,2017,74.97,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Lithuania,2018,78.38,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Lithuania,2019,81.52,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Lithuania,2020,82.13,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Lithuania,2021,86.55,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Lithuania,2022,87.71,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Lithuania,2023,88.59,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Lithuania,2024,90.38,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Luxembourg,2013,94.46,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Luxembourg,2014,95.56,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Luxembourg,2015,96.78,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Luxembourg,2016,97.04,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Luxembourg,2017,97.23,,
